,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards
1,Travis Konecny,26,C,76,33,35,68,4,67,23,4,6,5,29,5,1,244,13.5,491,1507:52,19:50,39,58,40.2,32,90,53,30,ASG
2,Owen Tippett,24,RW,78,28,25,53,-5,12,23,5,0,4,22,3,0,289,9.7,544,1293:43,16:35,19,26,42.2,47,148,33,25,Byng-70
3,Joel Farabee,23,LW,82,22,28,50,-13,37,20,2,0,2,23,5,0,182,12.1,307,1327:17,16:11,30,50,37.5,50,67,28,28,
4,Travis Sanheim,27,D,81,10,34,44,-20,48,9,0,1,3,26,5,3,146,6.8,320,1928:14,23:48,0,0,,149,94,37,47,
5,Morgan Frost,24,C,71,13,28,41,4,22,10,3,0,1,20,8,0,135,9.6,259,1123:43,15:50,407,416,49.5,55,57,24,29,
6,Scott Laughton,29,C,82,13,26,39,-9,69,10,1,2,2,16,4,6,167,7.8,286,1283:44,15:39,478,499,48.9,56,155,19,26,Selke-37
7,Sean Couturier,31,C,74,11,27,38,-10,29,8,3,0,3,21,4,2,192,5.7,316,1318:58,17:49,692,602,53.5,41,59,47,31,
8,Tyson Foerster,22,RW,77,20,13,33,0,32,15,4,1,2,9,4,0,167,12,320,1329:42,17:16,1,2,33.3,49,102,36,12,"AR-4,Calder-7,Selke-37"
9,Cameron York,23,D,82,10,20,30,-13,44,10,0,0,1,12,6,2,134,7.5,287,1854:47,22:37,0,0,,174,76,18,32,
10,Cam Atkinson,34,RW,70,13,15,28,-22,27,11,2,0,3,11,4,0,175,7.4,290,1116:11,15:57,12,13,48,46,35,17,20,
11,Ryan Poehling,25,C,77,11,17,28,-11,6,7,1,3,1,15,1,1,111,9.9,190,1154:40,14:60,461,477,49.1,101,62,23,11,Byng-27
12,Bobby Brink,22,RW,57,11,12,23,1,10,8,3,0,2,10,2,0,81,13.6,155,786:12,13:48,4,3,57.1,24,36,10,12,
13,Sean Walker,29,D,63,6,16,22,9,34,4,0,2,1,14,1,1,109,5.5,234,1234:41,19:36,0,0,,98,86,35,22,
14,Yegor Zamula,23,D,66,5,16,21,3,32,3,2,0,1,8,7,1,61,8.2,177,1059:47,16:03,0,0,,79,37,17,22,
15,Noah Cates,24,LW,59,6,12,18,-8,0,6,0,0,1,10,0,2,78,7.7,157,814:02,13:48,147,183,44.5,35,52,33,5,Byng-33
16,Garnet Hathaway,32,RW,82,7,10,17,-7,132,6,0,1,1,8,0,2,103,6.8,190,1024:02,12:29,22,11,66.7,73,326,13,16,
17,Nick Seeler,30,D,71,1,12,13,9,78,1,0,0,0,8,0,4,100,1,225,1203:20,16:57,0,0,,205,132,10,30,
18,Olle Lycksell,24,RW,18,1,4,5,0,6,1,0,0,0,4,0,0,29,3.4,45,179:02,9:57,2,3,40,4,4,1,3,
19,Marc Staal,37,D,35,1,4,5,2,14,1,0,0,0,4,0,0,20,5,59,483:25,13:49,0,0,,44,31,4,9,
20,Jamie Drysdale,21,D,24,2,3,5,-18,4,1,1,0,0,2,1,0,34,5.9,81,451:19,18:48,0,0,,27,18,6,7,
21,Louis Belpedio,27,D,12,2,2,4,6,0,2,0,0,1,2,0,0,12,16.7,21,158:26,13:12,0,0,,18,16,4,2,
22,Rasmus Ristolainen,29,D,31,1,3,4,-6,8,1,0,0,0,3,0,0,46,2.2,89,517:25,16:41,0,0,,45,56,4,10,
23,Nicolas Deslauriers,32,LW,60,1,3,4,-7,89,1,0,0,0,3,0,0,49,2,99,488:58,8:09,5,8,38.5,21,188,14,5,
24,Erik Johnson,35,D,17,2,1,3,-9,2,2,0,0,0,1,0,0,20,10,41,279:19,16:26,0,0,,29,50,3,3,
25,Ronald Attard,24,D,12,0,2,2,1,6,0,0,0,0,2,0,0,14,0,42,184:37,15:23,0,0,,14,22,5,2,
26,Adam Ginning,24,D,9,1,0,1,0,0,1,0,0,0,0,0,0,6,16.7,15,127:21,14:09,0,0,,9,18,2,6,
27,Carter Hart,25,G,26,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1455:11,55:58,0,0,,0,0,0,20,
28,Emil Andrae,21,D,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,,2,52:00,13:00,0,0,,6,5,0,1,
29,Rhett Gardner,27,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7:28,7:28,2,0,100,1,1,0,0,
30,Felix Sandström,27,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,263:29,52:42,0,0,,0,0,0,1,
31,Calvin Petersen,29,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,276:55,55:23,0,0,,0,0,0,4,
32,Victor Mete,25,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,10:52,10:52,0,0,,1,0,0,0,
33,Samuel Ersson,24,G,51,0,0,0,0,4,0,0,0,0,0,0,0,0,,0,2809:28,55:05,0,0,,0,0,0,30,"AR-3,Calder-10"
34,Ivan Fedotov,27,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,121:09,40:23,0,0,,0,0,0,4,
35,Denis Gurianov,26,RW,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,43:39,10:55,0,0,,0,1,0,2,
